ID базы,GEDCOM ID,Пол,Семьи как супруг,Семьи как ребёнок
7826,I2,F,,
7835,I12,M,F7,
7836,I13,F,F7,
7845,I500010,M,F500006,F500004
7850,I500015,M,,F500006
7851,I500016,F,F500006,
7852,I500017,M,,F500006
7853,I500018,M,,F500007
7854,I500019,F,F500007,
7856,I500022,M,F500010,
7857,I500023,F,F500010,
7860,I500026,M,F500011,
7861,I500027,M,F500012,
7862,I500028,F,F500012,
7864,I500031,M,F500038,F500013
7865,I500033,F,,F500013
7866,I500034,F,F500013,
7867,I500035,F,F500039,F500013
7868,I500036,F,F500015,F500014
7869,I500038,M,F500015,
7870,I500039,M,,F500015
7874,I500045,F,F500018,F500017
7880,I500056,F,F500028,F500029
7897,I500076,F,F500038,F500040
7904,I500086,M,F500049,F500033
7907,I500089,F,F500049,
7914,I500100,F,F500058,
7928,I500114,F,F500062,
7947,I500134,F,F500068,
7949,I500136,F,F500069,
7950,I500137,F,F500070,
7951,I500138,F,F500071,
7978,I500174,F,,F500088
7979,I500175,F,F500088,
8016,I500219,F,F500108,
8045,I500257,M,F500125,
8050,I500262,F,F500128,
8053,I500265,M,F500130,
8070,I500285,M,F500147,
8073,I500288,F,F500148,
8077,I500292,F,F500151,F500159
8083,I500298,F,F500155,
8097,I500316,F,,F500161
8098,I500317,F,F500161,
8101,I500320,M,,F500113
8102,I500321,F,,F500113
8121,I500348,F,F500172,
8133,I500360,F,F500174,
8135,I500362,F,F500175,
8137,I500364,M,,F500109
8144,I500371,M,,F500152
8151,I500378,M,,F500177
8153,I500380,M,F500178,
8155,I500382,M,F500179,
8157,I500384,M,F500180,
8158,I500385,F,F500180,
8159,I500386,M,,F500180
8170,I500397,F,,F500182
8171,I500398,M,F500182,
8179,I500406,F,F500184,
8181,I500408,F,F500185,
8187,I500414,M,F500186,
8189,I500416,F,F500187,
8192,I500419,M,F500188,
8198,I500425,M,F500189,
8207,I500434,F,F500192,
8211,I500439,F,F500193,
8224,I500452,F,F500205,
8238,I500466,F,F500206,
8295,I500530,F,F500230,
8311,I500553,F,F500242,
8312,I500554,M,,F500242
8314,I500556,F,F500244,
8315,I500557,F,,
8317,I500559,M,,F500245
8318,I500560,M,,F500245
8381,I500639,F,,F500267
8385,I500643,M,,F500187
8394,I500652,F,,F500132
8405,I500663,F,F500273,
8407,I500665,F,F500274,
8410,I500668,F,F500276,
8411,I500669,F,F500277,
8435,I500693,F,,F500222
8436,I500694,M,,F500222
8437,I500695,F,,F500222
8439,I500697,F,,F500266
8440,I500698,M,,F500255
8441,I500699,M,,F500255
8445,I500703,M,,F500281
8456,I500714,F,,F500283
8457,I500715,F,,F500283
8458,I500716,F,,F500271
8464,I500722,M,,F500271
8502,I500760,F,,F500289
8503,I500761,F,,F500289
8504,I500762,F,,F500289
8505,I500763,M,,F500289
8506,I500764,M,,F500289
8521,I500779,M,,F500292
8531,I500789,F,,F500294
8572,I500830,F,,F500307
8594,I500852,M,F500310,
8599,I500857,F,,F500313
8603,I500861,F,F500314,
8605,I500863,F,F500315,
8607,I500865,F,F500316,
8609,I500867,F,F500317,
8611,I500869,F,F500318,
